Callsign, Origin, Destination
AFR090,LFPG,KMIA
QAF1,OTBD,EGLL
FBR763N,UUWW,OMDW
AZA60U,LIRF,KJFK
AFR066,LFPG,KLAX
DAH1216,DAAG,LFJL
AFR194,LFPG,VOBL
BAW26E,EGLL,KDWH
DAL35,LFPG,KSEA
DAH2054,DAAG,EGLL
DAL263,LFPG,KJFK
KAR373,UUEE,USSS
DAH1000,DAAG,LFPG
JAL42,EGLL,RJTK
DAL49,EHAM,KJFK
AWC211,EVRA,CYOW
JAF31D,GMMT,EBCI
DAL161,EHAM,KSGS
JAI235,EHAM,VOBL
AZA678,LIRF,SBGR
BEL1CP,EBBR,KJFK
DJT100,LFPO,KLDJ
DAL127,LEMD,KJFK
AIC162,EGLL,VIDP
AFR084,LFPG,KSFO
GFA002,EGLL,OBBI
DLH400,EDDF,KJFK
AAF256,DAAG,LFPO
BAW104,OMDB,EGLL
CAL064,LOWW,RCTP
GFA016,EDDF,OBBI
AFR226,LFPG,VIDP
AFL1402,UUEE,USSS
SVR3079,UUDD,OMRK
VJT405,LIML,OMDW
TAP059,LPPT,SBBR
DLH422,EDDF,KBOS
KTK6101,URRP,OMDW
SAS909,EKCH,KLDJ
CAL062,EDDF,RCTP
AZU8751,LPPT,SBKP
BAW139,EGLL,VABB
SIA52,EGCC,KIAH
KTK7703,UUWW,OMDW
AAF749,LFLL,DAAG
BAW175,EGLL,KJFK
JAI231,EHAM,VABB
BEL205,EBBR,GOBD
AZA801,DAAG,LIRF
NRS7017,EGKK,KJFK
GFA018,LFPG,OBBI
SAS907,ENGM,KLDJ
LOT21,EPWA,KHHR
MAC128,EHAM,GMTT
RAM729,LFML,GMMB
JAI119,EGLL,VABB
ETH3724,VABB,EBLG
BEL5YZ,EBBR,CYYZ
JAI233,EHAM,VIDP
TAP089,LPPT,SBGR
AFR1854,LFPG,DAAG
AFL2701,UGTB,UUEE
VPBNE,LSGG,KLAS
CES551,YSSY,EGLL
DAH1023,LFML,DAAG
ANA204,EDDF,RJTK
MAC378,LEBL,GMTT
EVA088,LFPG,RCTP
DAL2,EGLL,KJFK
MAS3,EGLL,WMKK
BAW207,EGLL,KMIA
TAP223,LPPT,KMIA
DLH766,EDDM,VABB
ANE8374,LEMD,GMTT
NRS7171,EGKK,KDEN
BAW283,EGLL,KHHR
KTK773,UUWW,OMDB
DAH1003,LFPG,DAAG
NRS43A,EGKK,KFLL
