Callsign, Origin, Destination
N5522S,,KFMY
SKP735,YBBN,
ENY4176,KDFW,
WJA4034,CYYC,
N275JC,,KROA
JJA136,,RKSS
NTX,,YMMB
UPS902,,KRIR
PAT913,KBNA,
AAL1909,,KCLT
PCM7654,,KONT
LKE9709,,
IBX66,,
UCA5013,,KIAD
N2397T,,KHWD
RXA2357,YPPH,
SH156,,K2R4
AFL1711,,UUEE
SKW3690,KSEA,
EDV5219,KJFK,
UTY2261,,YPPH
ZKMAE,,NZTG
NKS782,KBWI,
SKW4174,KATL,
UPS495,,KMSP
CCA4515,,
LNI970,,WIDD
EDV5088,KCLE,
ANA961,,
EJA411,,KDAL
N646AT,,PAMR
SKY103,RJTT,
SWA664,KDEN,
FDX121,CFQ7,
JBU2167,KHPN,
TEXN188,,KNSE
QLK750,YBBN,
SKW4245,KDTW,
DAL1293,,KATL
FFT681,,60CO
MTN7126,,KMIA
APJ522,RJFF,
CSZ9247,,
SKW5979,KDEN,
FY1336,WMSA,
N236P,,KGYR
VJC1127,,
APJ531,,
SKW5121,,60CO
PCM7798,,KLAS
ANA434,RJFF,
BKP121,VTBS,
APJ555,,
SKY706,,RJTT
CSN3859,,ZUCK
RPA4551,KDCA,
N990KB,,KDVT
SWA544,,KOAK
AMF1681,,75NE
FDX1206,KBOS,
SKW3090,,KLAX
SBI5228,,UNNT
CAO1086,,
LYM4230,KDEN,
SWA2716,KABQ,
MDA1263,RCSS,
FD537,YPAD,
SWA984,,KATL
JIA5585,KCLT,
N611BF,,KFTY
SWA205,KDEN,
CXA8427,,
PCM7706,,KLAS
AMF6603,,KMIA
MNTNA20,,
AMF1965,,KTTD
TORI206,,RJOI
AAL855,KDFW,
KING49,KNUQ,
APJ503,,
CSZ9222,,
SWA1193,KATL,
DAL8965,,58OH
ASH5894,,KDFW
IAE105,,UHBB
SWA45,KHOU,
TWB706,,RKSS
SWA2524,,KEFD
AFL1763,,UUEE
RTP184,VTBD,
BVN7576,,KOMA
NKS754,,KPHL
CXA8421,,
UIA8807,RCSS,
ENY3399,KDFW,
CSZ8791,,
SUB1017,,KTUL
FDX1359,KFAT,
PCM7682,,KONT
UAE9873,,OMDB
UPS116,,RJBB
SIA802,WSSS,
SKY141,,
N186CT,PANC,
SFJ75,RJTT,
RLH6551,,
VOZ9213,YPPH,
EH5566,,RJTT
EDV5376,KDTW,
PCM7658,,KSMF
CAL791,RCTP,
EXJ,,YMES
CES9695,,
MYS,,YCBG
N12JD,,KUES
QXE2454,KSEA,
MBU,,
CCA4337,,ZGSZ
FD467,,YWND
ANA995,RJTT,
SKW4157,KATL,
CSZ9440,,ZGSZ
ANA523,RJOO,
AMF1977,,KPDX
N3288F,,KWVI
CSN3857,,
CSC8501,,CYVR
SWA1004,,KDAL
CCA1893,,ZGSZ
CTV1101,WIHH,
SKW5402,,KSFO
ENY3996,KDFW,
N145UW,,KC29
CSN6481,ZGSZ,
ASA203,,KSEA
ENY4034,,KDFW
ZKHVH,,NZNV
SKW4566,KATL,
QXE2503,KSEA,
PCM7679,,KOAK
JAL184,,RJTT
N4197X,,KL26
SKL3,,NZWN
BMJ57,,KMSP
VOI938,,KPDX
JAL2501,RJBB,
COPPER8,KPHX,
JIA5501,KCLT,
UIA8752,,RCSS
ANA18,,RJTT
B70Q0,ZGSZ,
AMF1204,,KSKF
AFL1503,,UUEE
NKS1892,,MI53
N530RM,,OR30
LLM32,UUDD,
QXE2064,KSEA,
QJE1801,,YPPH
ANA675,,RJOA
ABL8804,,RKSS
N5388J,,KABQ
TSU7135,,KMIA
CCA621,,
ETD947,,VHHH
SWA1810,,60CO
SKW3987,KDTW,
UPS1123,,KPVD
CSN3403,,
ASA802,,KPDX
CES2181,,
ASH5810,KDFW,
AAL2496,KDCA,
752,,PANC
CSZ9361,,
VIV5028,MMTJ,
CSZ9337,ZGSZ,
UTY6070,YPPH,
CQH8779,,
BKP270,,VTBS
JAL493,RJTT,
SIA850,WSSS,
CES735,,YSSY
CXA8401,,
CSN3273,,ZGSZ
QXE2394,KSEA,
SNJ34,,RJTT
CTV160,WIHH,
DAL2930,,KSFO
TAM9012,SBGR,
AZU4025,SBKP,
VOI443,,MMTJ
N3418G,70OK,
N311VJ,,KTKI
MAS2742,WMKK,
ASV903,RKSS,
CCA4583,,
QLK760D,YBBN,
HVN6415,RKSI,
