Callsign, Origin, Destination,Day
5840,ESSB,ESSA,2020-06-01 
LZB320,LBSF,EDDB,2020-06-01 
RWZ308,UKFF,UUDD,2020-06-01 
SBI1157,UUDD,URRP,2020-06-01 
UTA398,UUDD,UUWW,2020-06-01 
N22S,EDDB,LEBL,2020-06-01 
BEL9933,EBBR,LOWS,2020-06-01 
LXJ592,EINN,EDDF,2020-06-01 
SBI2008,UKFF,UUDD,2020-06-01 
BLJ52A,LEBL,ESSB,2020-06-01 
BCS995,EBBR,EDDP,2020-06-01 
N806XA,EGSS,LGAV,2020-06-01 
SEJRG,EFKE,EFOU,2020-06-01 
DFROH,LSZR,EDSB,2020-06-01 
WZZ985,LBSF,EHEH,2020-06-01 
DMANH,EDNY,LSZR,2020-06-01 
SAS4525,ENML,ENGM,2020-06-01 
N513TF,EINN,EGGW,2020-06-01 
SVR116,URKA,UUDD,2020-06-01 
SAS269,ENGM,ENBR,2020-06-01 
WZZ471,EGGW,LBSF,2020-06-01 
AFL1154,UUEE,URRP,2020-06-01 
WZZ62,LHBP,LBSF,2020-06-01 
N131MA,BIKF,BIRK,2020-06-01 
NAX616,ENGM,ENBR,2020-06-01 
UTA576,UUDD,UUWW,2020-06-01 
GAC787M,EDJA,LSZR,2020-06-01 
CTN8A,LDZA,LDSP,2020-06-01 
SAS4083,ENEV,ENGM,2020-06-01 
GSGTS,EGEC,EGPF,2020-06-01 
LOT7098,EPKT,EPWA,2020-06-01 
SPG671,LFTH,LFBD,2020-06-01 
SEH347,LGSR,LGAV,2020-06-01 
CES569,EDDF,LFPG,2020-06-01 
AZV2423,EGBB,UUWW,2020-06-01 
GZP9636,UUWW,UUMO,2020-06-01 
SAS38T,ENGM,ENVA,2020-06-01 
XK154VR,LFKJ,LFML,2020-06-01 
NWS133,UUEE,UKFF,2020-06-01 
SVR157,UUDD,URKA,2020-06-01 
LZB851,LBSF,EGLL,2020-06-01 
N228BS,EETN,ESSB,2020-06-01 
SBI1136,UWUU,UUDD,2020-06-01 
YUSRB,EGGW,LYBE,2020-06-01 
SVR628,UKFF,UUDD,2020-06-01 
LOG31AW,EGPD,EGCC,2020-06-01 
CWG996,BIKF,EDSB,2020-06-01 
SAS6300,ENGM,ENVA,2020-06-01 
N880VJ,LPAZ,EGHH,2020-06-01 
TJT011P,LEMD,LFLL,2020-06-01 
AFL1148,UUEE,URKA,2020-06-01 
AZA6KM,LIMF,LIRF,2020-06-01 
PBD264,UUWW,UMKK,2020-06-01 
ID511,LIPB,LIPR,2020-06-01 
N612JD,EHAM,LPCS,2020-06-01 
FGMTJ,LFRD,LOWS,2020-06-01 
AFL1248,UUEE,UWUU,2020-06-01 
AFR77QL,LFPG,LFMD,2020-06-01 
SAS362,ENGM,ENVA,2020-06-01 
IDPCF,LIMG,LIRA,2020-06-01 
N125BJ,LIMG,LIEO,2020-06-01 
OYUGH,EKYT,EKOD,2020-06-01 
BHL60N,EGPD,EGPC,2020-06-01 
AFR77UP,LFMN,LFPG,2020-06-01 
AFL1010,UUEE,UMKK,2020-06-01 
RVP953,LPVZ,LPCS,2020-06-01 
TCATG,EYVI,UUWW,2020-06-01 
NAX764,ENGM,ENVA,2020-06-01 
AFL1226,UUEE,UWGG,2020-06-01 
STK43D,EIDL,EIDW,2020-06-01 
DMQAX,EDVK,EKEB,2020-06-01 
UTA179,UUWW,UUYY,2020-06-01 
PEA302,EBAW,LSZA,2020-06-01 
SAS276C,ENGM,ENBO,2020-06-01 
LXJ410,EINN,LFBD,2020-06-01 
BENGA9A,LFLC,LFTW,2020-06-01 
THY6145,UKBB,EPWA,2020-06-01 
SEJPY,ESSD,ESNZ,2020-06-01 
MOZ561,LSGG,LIRA,2020-06-01 
KLM896,EKCH,EHAM,2020-06-01 
AZA1726,LICC,LIRF,2020-06-01 
N17FJ,LSZH,EDDP,2020-06-01 
AFL1103,UUDD,UUEE,2020-06-01 
WZZ9825,LSGG,LBSF,2020-06-01 
UNC60,EGSH,EGNJ,2020-06-01 
N9133V,EDDS,LDRI,2020-06-01 
AFL1362,UUEE,UWSS,2020-06-01 
OMBHK,LKMT,LZKZ,2020-06-01 
SPADI,EPGD,EPBY,2020-06-01 
TYA1042,URML,UUDD,2020-06-01 
NJE5CM,LIEO,LIML,2020-06-01 
AFL1365,UUDD,UUEE,2020-06-01 
VLJ56AA,LFTH,LSGG,2020-06-01 
AFL1022,UUEE,UUOO,2020-06-01 
NHC02,EDHL,EDHK,2020-06-01 
SAY9308,EDFH,UUEE,2020-06-01 
DFROH,LSZR,EDSB,2020-06-01 
NAX414,ENGM,ENAL,2020-06-01 
AFL1123,UWGG,UUEE,2020-06-01 
IBE0476,LEMD,LEAS,2020-06-01 
AFL1157,UUDD,UUEE,2020-06-01 
SVR008,UKFF,UUDD,2020-06-01 
IAM3183,LIRA,LIMG,2020-06-01 
JEI414,EFOU,ENTO,2020-06-01 
CTN6J,LDDU,LDZA,2020-06-01 
SBI2124,URRP,UUDD,2020-06-01 
PBD181,UUWW,URRP,2020-06-01 
UTA375,UUWW,UUYY,2020-06-01 
LXJ583,EICK,LPFR,2020-06-01 
AFL1681,UWGG,UUEE,2020-06-01 
SAS6303,ENVA,ENGM,2020-06-01 
CHX55,EDVE,EDDW,2020-06-01 
DMANH,EDNY,LSZR,2020-06-01 
SBI2106,URKA,UUDD,2020-06-01 
AOJ92R,LEMD,UUWW,2020-06-01 
UTA296,UUEE,UUWW,2020-06-01 
FLC88,EINN,EDDN,2020-06-01 
AFL1658,UUEE,UKFF,2020-06-01 
NAX620,ENGM,ENBR,2020-06-01 
