Callsign, Origin, Destination
CPA288D,EDDF,VHHH
DIVVV,LSZH,EDDH
RYR5002,LEMD,EGSS
CSN8196,EDDF,ZUCK
ECJQE,LEVC,LEZL
DLH5AF,EDDF,EGLL
NAX522,ENGM,ENZV
SDM6231,ULLI,UWWW
RCH145,OBBI,LICC
MLWSA,EDDB,TJIG
SWT112,LEIB,LEMH
DLH56V,EDDF,LFPG
EWG7BY,EDDH,LOWW
RYR65BQ,EIDW,EBBR
CTN480,LDZA,EKCH
AFL007,ULLI,UUEE
BOX911,EDDF,EDDP
AFR366V,LFPG,DAAG
SAS4010,ENZV,ENGM
DLH2EP,EDDF,EKCH
FRX688,UUWW,ULLI
FPO951F,LFPG,DAAG
SAS73L,ENHD,ENGM
KAL8506,EDDF,RKSI
VKA121,EBLG,ENZV
DESSR,EDHL,EDFM
OAL160,LGAV,LGIO
CTN5NL,LDZA,EHAM
BAW812,EGLL,EKCH
AFR365Y,LFPO,LFPG
STK1K,EIKY,EIDW
RYR8556,EIDW,EDDB
AUL531,ULLI,UWWW
DLH3MM,EDDF,EHAM
LPA302,ESSA,EFMA
ANE8510,LEPA,LEIB
DFL03,ESPA,ESSB
AZA400,LIRF,EDDF
TYA1062,ULLI,UUDD
N131MA,EDFM,EGPC
BRU867,UMMS,EHAM
SQP904,EDDM,UKBB
AME3118,LEZG,EVRA
BCS705P,LFBO,EDDP
WZZ6917,EDLW,LHBP
AFL012,UUEE,ULLI
DLH8UX,EDDF,EDDM
ABR1553,LIMC,LEMD
DLH6PJ,EDDM,EBBR
DLH3TP,EDDF,EKBI
LXA24Y,EHAM,LSZH
RWZ1111,UUWW,UUBW
AZA572,LIRF,LSZH
AHO615Q,ENTO,LSZH
DLH2VC,EDDF,EDDH
EWG4YG,EDDH,EDDS
LDX6,LOWW,LIEO
RYR92UE,EHEH,EGSS
BTI30Y,EFHK,EVRA
AEH601,LFPG,EGLL
RYR301,EPKK,EDFH
RYR9EH,EGSS,EDDB
JFA78A,ESSB,LSGG
PBD164,URWA,UUWW
WZZ2615,EDJA,LBWN
VPCRA,EGSS,OTBD
CTN416,LDZA,EDDF
EWG7171,EDDM,EDDH
VJT645,EKCH,EINN
UTA595,UUWW,UUYS
FLJ611,EGCC,LEPA
CWY02F,EGNS,EGGP
RYR5NX,EGCC,EIDW
GES401V,LEMD,LEZL
BAW500,EGLL,LPPT
RRR489,EGVN,EGPD
BAW56,FAGM,EGLL
ROJ022,LROP,VOBL
AFR18HW,LFPG,LIMC
BIO06,EGNX,EGNR
SAS58E,EKCH,ESSA
LGL92MU,EDDM,ELLX
BAW71MA,EGLL,LEMD
MTSRI,EGNR,EGFF
WZZ2AR,ENTO,LROP
SVR3990,EDDM,USSS
DLH8CN,EDDF,LSZH
DLH5TT,EDDM,EDDL
GAC285V,LOWS,EDDB
NJE669H,LSGG,EDDK
SBI1009,UUDD,ULLI
BAW478S,EGLL,LEBL
LGL9562,EDDH,EDDR
DLH9VV,EDDF,EBBR
SVR261,UUDD,USSS
CSN496,EHAM,ZUCK
WZZ39PU,LYBE,ESKN
DLH1JW,EDDF,LKPR
VVV121,LPCS,LPPR
SVR079,UUDD,ULLI
NWS9023,UUEE,LEBL
LPA322,EFMA,EFTU
AZA1617,LIRF,LIBD
AZA1593,LIRF,LIEE
WUK4867,EGGW,LYBE
AFR77MV,LFPG,LFRB
LOT3852,EPWR,EPWA
LOT3806,EPRZ,EPWA
WZZ20PL,EHEH,LHBP
AZA2HW,LIMC,LIBD
CSA3F,EDDF,LKPR
AZA576,LIRF,LSGG
DLH5E,EDDH,EDDM
RYR404,EYKA,EGNX
