Callsign, Origin, Destination
SVR100,UUDD,UNCC
CAO1041,RCTP,EDDF
CSN487,ZUCK,EHAM
DRU597,UNNT,UUDD
BAW138,VABB,EGLL
SBI2513,UUDD,UNNT
ABW202,KORD,EBLG
AJT972,EGNX,KCVG
BAW27,EGLL,VHHH
LOT1071,EPWA,VIDP
IBE6124,KMIA,LEMD
ACA872,CYYZ,EDDF
MPH8321,EHAM,FABA
DLH507,SBGR,EDDF
BOX575,RKSI,EDDP
AFR188,LFPG,VHHH
DAL72,KATL,EHAM
PVG6778,SPJC,LEMD
DLH403,KEWR,EDDF
BAW294,KORD,EGLL
DAL14,KATL,EDDF
DAL16,KDTW,EGLL
AFL1306,UUEE,UNNT
ACA874,CYUL,EDDF
AVA150,SKBO,LIRF
DAL134,KONZ,EHAM
TAY010,EBLG,KJFK
BAW112,KJFK,EGLL
DAL82,KATL,LFPG
PUE61P,LEMD,ZGSZ
BOX581,VHHH,EDDK
DAL3340,KORD,EDDF
DAL3342,KORD,EDDF
ICV67W,KORD,ELLX
AFR347,CYUL,LFPG
GFA7007,OBBI,EGLL
IBE6653,LEMD,SPJC
AAR795,RKSI,UUDD
AFR007,KJFK,LFPG
AEA826,KMIA,LEMD
AFR5393,KJFK,LFPG
ABW240,VHHH,UUEE
BAW14K,KJFK,EGLL
ABW305,ZGSZ,EDDP
BAW172,KJFK,EGLL
AIC1954,UUDD,VIDP
ADB5403,UAAA,EPWR
BRU734,UDYZ,UMMS
BAW280,KLAX,EGLL
AWC883Y,EGSS,GVAC
ACA848,CYYZ,EGLL
CSN8197,ZUCK,EGLL
SDM6544,UNNT,ULLI
ACA870,CYUL,LFPG
TSM605,OLBA,EYVI
SVR350,UHBB,UUDD
BAW208,KMIA,EGLL
SVR099,UNNT,UUDD
KAL539,RKSI,EDDF
ACA854,CYVR,EGLL
IGA620,UAAA,EPWA
BOX481,KLAX,EDDF
ABX964,EGNX,KJFK
BAW18,RKSI,EGLL
DHK966,EDDP,KJFK
SBI2504,UNNT,UUDD
BAW51B,KBOS,EGLL
