Callsign, Origin, Destination
RYR2515,LEMD,LZIB
FFD525,EDDS,LZIB
AEA7152,LEBB,LEMD
RYR2GB,LEAL,EKBI
BTI8LQ,EVRA,LOWW
EWG1GM,EDDK,EDDP
AFR13NA,LFRS,LFPO
BAW365,LFLL,EGLL
AFR52WJ,LFPO,LFBO
VLG3256,LEZL,GCXO
AZA300,LIML,LFPG
SEH310,LGAV,LGSM
KLM74R,ESSA,EHAM
RYR8XM,LROP,EGSS
CFE7RT,EDDL,EGLC
BTI43N,EETN,EHAM
IBK5BV,LEMG,EGKK
EWG3RC,EDDS,EDDV
AFL2306,UUEE,EDDF
VLG253B,LEAL,LFPO
ETH712,LEMD,EIDW
KLM1140,ENGM,EHAM
SAS383C,ESSA,EDDS
HOP11JK,LFBO,LFLL
AEA21SL,LEMD,LPPT
BTI221,EVRA,EDDM
RYR37LQ,EDDB,LIME
DLH21A,EDDF,LFPG
IBE0407,LEJR,LEMD
EDW402,LSZH,BKPR
EZY4019,LFPO,LFBO
DLH15M,EDDM,LFML
EWG7MV,EDDL,EDDM
SCW253P,ESNU,ESSB
EZS28EG,LSGG,LIRF
DLH08P,EDDF,LOWW
AFL2482,UUEE,LIPO
DLH4LY,EDDF,EGLC
EWG7CF,EDDH,EDDL
AFR120K,LFPG,LIRF
VLG22SV,LEBL,LEZL
FIN93P,EFHK,EDDL
FIN78D,EFHK,LIRF
EZY23UB,LIPZ,LFPG
EZS87BL,LSGG,EGHH
NJE699K,EDDB,EDFH
KLM28Q,LHBP,EHAM
HOP37JG,LFBI,LFLL
BPA2133,LIMF,LIRF
EZY17JH,LFPG,LPPT
EWG2GR,EDDH,LFPG
RYR149,LEBL,EDDB
AFL2638,UUEE,LEBL
RYR4G,LKPR,EGSS
BAW709,LSZH,EGLL
WZZ1AA,EPGD,EFTU
AFR15RG,LFBP,LFPO
RYR8X,EDDN,EPKK
VLG26TS,LEMG,LEBB
DLH39H,EDDM,LFPG
EWG1AR,EDDL,EGCC
AZA51J,LSGG,LIRF
NAX4151,ESSA,EKCH
NAX22S,ESMS,ESSA
RYR54FB,EDDF,EIDW
BMS4501,LIEA,LIRF
FIN1423,EFHK,EDDH
RYR9B,LHBP,EBCI
WOW76E,BIKF,EDDF
AFL2684,UUEE,EDDB
TAP1049,LEBL,LPPT
RYR40PJ,LIME,LEMD
AZA1TX,LIMC,LIRF
RYR96YD,LEAL,EDDK
NAX4505,ESSA,EDDB
RYR5462,LEMD,EBCI
DLH976,EDDF,EIDW
TUI806F,EDDP,EDDF
NAX2EF,ESNU,ESSA
DLH1WT,EKCH,EDDF
IBK9LC,LEMG,EKCH
OOCFW,EBOS,EDVK
EZY61CM,EHAM,EGKK
SAS43F,EFHK,ESSA
BAW795,EFHK,EGLL
DLH07P,EDDM,LEBL
IBK366,EFHK,EGKK
EZY92EU,EHAM,LOWW
DLH2LX,EDDF,EDDH
DLH3EK,EDDF,EDDW
RYR5JD,EBCI,LKPR
RYR4659,LIBD,LIME
SDR3352,EDVK,EDDH
SAS550,EHAM,EKCH
AZA8PZ,LIPZ,LIRF
RYR6689,LEZL,EGBB
TRA22X,EHAM,LEAL
RYR18ZR,EPKK,EGSS
RYR5TF,LZIB,EGSS
SAS144,ESGG,ESSA
MAGIK,EGGW,LSGG
DLH51J,LEBB,EDDM
RYR86YL,EPMO,EGSS
AZA1637,LIML,LIBD
EZS92WZ,LSGG,LPPT
ADR102,LJLJ,EDDM
DLH5HP,EDDF,ESSA
WOW1,BIKF,LFPG
AZA1569,LIEA,LIML
EZY34MJ,LFPG,LIML
VLG7GC,LFPO,LIRF
AFR59RV,LEMD,LFPG
EWG18A,EDDL,LSZH
BCS3162,EKCH,ENZV
TAP1103,LEZL,LPPT
VOE2ST,LFBD,LKPR
OYJJN,EKBI,EGNM
RYR967,ESGG,EGSS
KLM49W,EHAM,LSGG
EWG5EG,EDDK,LIMC
RYR6YW,LEMD,GCXO
EWG5B,LOWW,LEBL
EWG44M,EDDM,EDDL
FOO10RP,LOWW,LFPG
AFL2202,UUEE,EFHK
DTR73,EKKA,EKCH
DLH5JT,ESSA,EDDF
BEL8VJ,EBBR,LFPG
RYR2376,EGPH,EDDB
ROT225M,LROP,LKPR
RYR494,LIRF,LIBD
RYR3E,EBCI,LFML
AZA74Q,LIEE,LIML
NAX72E,ESGG,ESSA
AZA2013,LIML,LIRF
FPO1361,EGNX,LIMC
EWG6VP,EDDL,EGLL
IBE3489,LSGG,LEMD
RYR25SH,EGPH,EGSS
FIN1NX,EFHK,ESSA
TRA16M,EHAM,LEMG
VLG99VS,LFPO,LIMC
RYR10LT,EPWR,EIDW
AAF643,LFPO,LIMC
DLH77P,LEBB,EDDF
DLH5KV,EKBI,EDDF
AFR15SA,EIDW,LFPG
AAF258P,LFPG,LFPO
SDM5423,UUEE,UUWW
VLG21AL,LEMG,LEBL
AFR161E,EDDH,LFPG
EWG64N,EDDL,LHBP
EZY29VN,LFPO,LIRF
SCW5,ESGG,ESSB
IBK9HW,ESSA,EGKK
ISS7090,LIRF,LIEE
EWG9030,EDDL,EDDH
EWG7BY,EDDH,LOWW
DLH9WY,EDDM,EDDG
DLH4HU,EDDM,EGLL
RYR2MU,EPMO,EDJA
SAS1240,EKAH,EKCH
AFL2006,UUEE,EPWA
EZY4731,EDDB,LOWW
RYR6XY,EBCI,EKCH
RYR3TT,EPGD,LIRP
IBE3170,LEMD,EGLL
SAS433,ESGG,EKCH
KLM1838,LOWW,EHAM
AZA92C,LIRF,LIML
STK5AM,EHGG,EGMC
SCW25E,ESMS,ESSB
BTI681,EVRA,LEBL
EZY265T,LFBD,LFLL
EZY75QB,LFPG,EKCH
BEL1WS,EBBR,LOWW
WUK628,EGGW,EETN
VLG1311,LEAL,LEBL
AFR11JR,EDDF,LFPG
TAP1900,LPFR,LPPT
VLG70AR,LFPO,LEBL
SAS2475,ENVA,ESSA
DLH204,EDDF,EDDC
AFR53VQ,LFBO,LFPO
AFL2374,UUEE,LFLL
SAS702,ESSA,EFHK
DLH8XV,EPWA,EDDF
DLH2YY,EDDS,EDDF
RYR61CD,EBBR,LEMD
BTI629,EVRA,LIMC
EZY13MT,LIMC,EDDM
DLH7HT,EDDF,EPWA
DLH8KX,EDDM,EDDK
DLH8VR,EDDF,EDDV
RYR9503,ESKN,LFOB
DLH4CH,EDDH,EDDF
IBK358,EFHK,EPGD
WOW4,BIKF,EDDB
KLM1351,EHAM,LKPR
EZY8801,EGKK,EDDL
ANE09ZV,LFLL,LEMD
SAS97P,ESSA,LKPR
DLH2RK,EDDF,EDDH
FIN1DH,EFHK,EDDM
DLH4W,EBBR,EDDF
EZS89CM,LSGG,LEMG
EZY17QN,EGGP,LPFR
KLM47B,EHAM,LSZH
RYR1188,LEZL,EDJA
EZY45RH,LFPG,LIMC
SAS50A,ENGM,ESSA
TAY749B,LIPZ,LJLJ
TAP447,LFPO,LPPT
EWG8GW,EDDH,LIMC
EZY8014,LFBD,EGKK
RYR87AQ,LIRA,LPPT
SAS589,ESSA,EBBR
IBK5120,LEMG,EFHK
CSA718,LKPR,LIMC
WUK45,EGGW,LZKZ
EWG63K,EDDL,EGBB
DLH9CJ,EDDM,EDDW
TAP1363,EGLL,LPPT
RYR3239,EBCI,EGCC
NAX740,ENGM,ENVA
BAW963,EDDH,EGLL
DLH6NC,EGBB,EDDF
KLM23P,EHAM,LFPG
RYR4JK,EBBR,LIMC
VLG108G,LEBL,LFPO
EZY52NU,EGGP,EPKK
AFL2032,UUEE,LHBP
SAS83L,ESPA,ESSA
RYR37GT,LKPR,LIRA
SCW2,ESSB,ESGG
AFR49KX,LFML,LFPO
RYR9NN,EBCI,LIRA
ETH726,LOWW,LSGG
RYR4531,EPMO,EGNT
RYR4708,LIME,LIEA
WOW5,BIKF,EHAM
BAW631,LGAV,EGLL
SAS54C,ESSA,EKCH
ADR6K,LJLJ,EDDF
DLH4TN,EGBB,EDDM
AFR38PG,LFPG,LHBP
DLH9XV,EDDF,EGLL
AZA9EK,LIBD,LIRF
ISS1225,LIEO,LIML
TRA5955,EHAM,LPPT
DLH5HW,EDDM,EDDF
BTI1M1,EVRA,ESSA
WZZ1CD,EPKT,EHEH
EWG4TR,EDDK,LDZA
AFL2450,UUEE,LFPG
TRA85G,EHAM,LJLJ
EWG7NP,EDDS,EGLL
BAW853S,LKPR,EGLL
DLH248,EDDF,LIMC
DLH7EL,EDDF,LGAV
AFR74VF,LFPG,EGBB
VLG142E,LEBL,LEBB
EWG7038,EDDH,EDDK
AFR72AD,EGPH,LFPG
AFL1350,UUEE,UUOO
EZY731U,LFBD,LFML
EZY82NA,LIPZ,LEZL
KLM1853,EHAM,EDDL
