Callsign, Origin, Destination
WOW126,KBOS,BIKF
BAW40F,KJFK,EGLL
AFR065,KLAX,LFPG
BAW2,KJFK,EGLC
DLH471,CYYZ,EDDF
DLH441,KIAH,EDDF
BAW5CA,CYYZ,EGLL
DAL500,KIND,LFPG
CPA254,EGLL,VHHH
OMA143,RPLL,LIMC
JAI128D,VOMM,LFPG
BAW2232,TXKF,EGKK
AIC153,YSSY,LOWW
DCAWX,BIKF,KBOS
DLH457,KLAX,EDDF
BAW9E,KEWR,EGLL
TAP218,KBOS,LPPT
DLH429,KCLT,EDDM
ACA856,CYYZ,EGLL
AFL1883,UCFM,UUEE
AFR351,CYYZ,LFPG
ANZ2,KLAX,EGLL
BAW11J,KJFK,EGLL
DLH403,KEWR,EDDF
MEA209,OLBA,LFPG
BAW71F,KSFO,EGLL
AFR007,KJFK,LFPG
ACA892,CYUL,LIRF
AIC112,EGLL,VIDP
DAL404,KBOS,LFPG
AFL103,KJFK,UUEE
DLH475,CYUL,EDDM
AFL1947,UAAA,UUEE
AFL1431,UNBB,UUEE
CCA833,YSSY,LFPG
BAW45B,KBOS,EGLL
KZR871,UAAA,UUEE
IBE6124,KMIA,LEMD
DAL48,KJFK,EHAM
BAW176A,KJFK,EGLL
DLH461,KMIA,EDDM
DAL258,KBOS,EHAM
ACA894,CYYZ,LIMC
AFR019,KJFK,LFPO
AZA679,SBGR,LIRF
IBE2601,LEBL,SAEZ
SAS904,KEWR,ESSA
BAW282,KLAX,EGLL
DAL1,KJFK,EGLL
DJT101,KEWR,LFPO
DAL126,KJFK,LEMD
AFR333,KBOS,LFPG
BAW17V,KDEN,EGLL
SVR652,UNBB,UUDD
DAL58,KBOS,EGLL
IBK1762,KSWF,EIDW
AFR6731,KORD,EGPK
DAL106,KJFK,EDDF
SAS910,KEWR,EKCH
DAL410,KMCO,EHAM
IBK1822,KPVD,EIDW
GSW3403,OLBA,LSZH
TFL318,KMIA,EHAM
DLH447,KDEN,EDDF
AEA039,LEMD,SEHI
NRS18U,KJFK,EGKK
ACA870,CYUL,LFPG
DAL408,KJFK,LSZH
ACA846,CYYZ,EDDM
BAW8,RJTT,EGLL
HVN51,YSSY,EGLL
EVA067,RCTP,EGLL
DLH2557,UGTB,EDDM
CFG063,KLAS,EDDF
DLH463,KMIA,EDDF
TAP088,SBGR,LPPT
NRS7108,KLAS,EGKK
AZA63C,KMIA,LIRF
SBI218,UNBB,UUDD
BAW116,KJFK,EGLL
DAL476,KJFK,LEBL
DLH465,KMCO,EDDF
BAW190,KAUS,EGLL
SAS936,KSFO,EKCH
DAL162,KMSP,EHAM
ACA864,CYUL,EGLL
AFR291,RJBB,LFPG
ACA844,CYYC,EDDF
SIA25,KJFK,EDDF
AFL107,KLAX,UUEE
DLH741,RJBB,EDDF
CAL069,RCTP,EGKK
IBE6844,SAEZ,LEMD
DLH425,KBOS,EDDM
AZA605,KJFK,LIMC
ARG1140,SAEZ,LIRF
ACA850,CYYC,EGLL
BOV776,SLVR,LEMD
DLH453,KLAX,EDDM
TSC110,CYUL,LFPG
NRS4BX,KOAK,EGKK
ISS9BG,KJFK,LIMC
BAW172,KJFK,EGLL
AAR521,RJBB,EGLL
ROT168,OLBA,LROP
ACA880,CYYZ,LFPG
JAL45,RJTT,LFPG
CLU815,KIAH,EDDF
BAW94,CYUL,EGLL
CPA257,VHHH,EGLL
BAW280,KLAX,EGLL
DLH413,KEWR,EDDM
ACA834,CYUL,LSGG
OMA123,WMKK,EDDM
NRS6YA,KLAX,EGKK
BAW66V,KPHL,EGLL
MAS4,WMKK,EGLL
DHK696,EDDP,KJFK
DAL246,KJFK,BIKF
WJA3,CYYZ,EGKK
ACA854,CYVR,EGLL
TSC122,CYYZ,EGKK
ANA223,RJTT,EDDF
AEE897,UGTB,LGAV
IBE6252,KJFK,LEMD
ACA842,CYYZ,EIDW
BAW48Q,KBFI,EGLL
BAW24R,KORD,EGLL
BAW230,KIAD,EGLL
TSC564,CYYZ,EGCC
TCX2849,KJFK,EGCC
RAM790T,GBYD,LFBO
TAP1482,GOBD,LPPT
BAW188,KEWR,EGLL
TAM8084,SBGR,EGLL
JAL43,RJTT,EGLL
AFR191A,VOBL,LFPG
BAW89P,KSJC,EGLL
ARG1132,SAEZ,LEMD
BAW14K,KJFK,EGLL
ANA215,RJTT,LFPG
DAL44,KJFK,EIDW
ANA211,RJTT,EGLL
